WKT,LINEARID,FULLNAME,RTTYP,MTFCC
"LINESTRING (-85.535332 31.967234,-85.535081 31.96696)",110685807354,,,S1400
"LINESTRING (-85.520899 31.966856,-85.520722 31.967028,-85.520446 31.967305,-85.520326 31.967413,-85.520271 31.967481)",110685802024,Ott Fenn Rd,M,S1400
"LINESTRING (-85.553252 31.939539,-85.553406 31.939611,-85.553606 31.939681,-85.553853 31.939751,-85.554439 31.939877,-85.555621 31.940063,-85.556808 31.94022,-85.557407 31.940258,-85.558005 31.940269,-85.558596 31.940344,-85.559148 31.940544,-85.559623 31.940856,-85.560062 31.941202,-85.560515 31.941535,-85.56101 31.941819,-85.561386 31.942002,-85.561519 31.942076,-85.56165 31.942171,-85.561784 31.942261,-85.561982 31.942403,-85.562972 31.942978,-85.563984 31.943543,-85.565017 31.944083,-85.56554 31.944342,-85.566055 31.944609,-85.566255 31.944748,-85.566435 31.944907,-85.566604 31.945074,-85.566796 31.945221,-85.567013 31.945339,-85.567538 31.94559,-85.568093 31.945781,-85.56831 31.9459,-85.568684 31.946198,-85.568907 31.946309,-85.569147 31.946375,-85.569399 31.946393,-85.569908 31.94635,-85.570166 31.946339,-85.570426 31.946362,-85.570676 31.946417,-85.570914 31.9465,-85.571137 31.946611,-85.571335 31.946753,-85.571492 31.946929,-85.57161 31.947124,-85.572092 31.948065,-85.572356 31.948525,-85.572632 31.948979,-85.572687 31.949117,-85.572854 31.949759,-85.573106 31.950222,-85.573511 31.950599,-85.574013 31.950881,-85.574529 31.951125,-85.575108 31.951265,-85.575686 31.951415,-85.576257 31.951569,-85.576826 31.951713,-85.577367 31.951941,-85.578436 31.95242,-85.578941 31.952691,-85.579453 31.952948,-85.579618 31.952987,-85.579788 31.953002,-85.579949 31.952977,-85.580018 31.952961)",110685802348,Dry Creek Rd,M,S1400
"LINESTRING (-85.568766 31.909592,-85.568373 31.909599,-85.568039 31.909617,-85.567921 31.909617,-85.567495 31.909602,-85.567395 31.909602,-85.567263 31.909594,-85.56713 31.909597,-85.566997 31.909607,-85.566887 31.909632)",110685807323,,,S1400
"LINESTRING (-85.576812 31.890362,-85.577154 31.890763,-85.577556 31.89083,-85.577968 31.890954,-85.578382 31.891185,-85.578959 31.891593,-85.579539 31.892172,-85.580249 31.892517,-85.580677 31.893071,-85.58141 31.893643)",110685807223,,,S1400
"LINESTRING (-85.497551 31.934174,-85.498021 31.934224,-85.498639 31.934109,-85.49923 31.933696,-85.499942 31.932916,-85.501382 31.929387,-85.501194 31.92886,-85.501167 31.928448,-85.501302 31.928241,-85.503881 31.92822,-85.506835 31.92884,-85.50756 31.92923,-85.508205 31.929711,-85.509088 31.930333,-85.509896 31.930903,-85.5114 31.932233,-85.512205 31.93331,-85.513091 31.934845,-85.513466 31.936403,-85.513466 31.937274)",110685803327,Lynn Jackson Rd,M,S1400
"LINESTRING (-85.57167 31.852864,-85.571473 31.852937,-85.571345 31.853033,-85.571251 31.853155,-85.571163 31.853279,-85.571069 31.853401,-85.570982 31.853528,-85.57092 31.853663,-85.570896 31.853734,-85.570857 31.853803)",110685807460,,,S1400
"LINESTRING (-85.568938 31.891436,-85.569012 31.891441,-85.569095 31.891452,-85.569177 31.891469,-85.569328 31.891536,-85.569461 31.891627,-85.569583 31.891731,-85.569694 31.891842,-85.569793 31.891958,-85.569916 31.892114)",110685806315,,,S1400
"LINESTRING (-85.467628 31.998794,-85.468031 31.998839,-85.468301 31.999046,-85.468463 31.999389,-85.469135 31.999618,-85.469538 31.999751,-85.4697 32.000155,-85.470537 32.001108,-85.470887 32.002367,-85.47121 32.003078)",110685806338,,,S1400
"LINESTRING (-85.407337 31.977257,-85.407229 31.97783,-85.40817 31.978403,-85.408519 31.979021,-85.40868 31.979663,-85.408868 31.979938,-85.409029 31.980029,-85.410158 31.980144,-85.410454 31.980373,-85.4104 31.980786,-85.409889 31.981977,-85.409351 31.982366,-85.409109 31.982458,-85.409055 31.983145,-85.408813 31.983557,-85.408329 31.983947,-85.407684 31.984313,-85.406286 31.984519,-85.40591 31.984702,-85.405587 31.985,-85.405506 31.985206)",110685806449,,,S1400
"LINESTRING (-85.461575 31.97742,-85.461172 31.978199,-85.460312 31.979093,-85.458028 31.982622)",110685806451,,,S1400
"LINESTRING (-85.404837 31.975859,-85.403278 31.976614,-85.403143 31.977531,-85.402874 31.977828,-85.402525 31.977943,-85.401665 31.977828,-85.400859 31.977919,-85.399219 31.978652,-85.398708 31.97872,-85.397041 31.97943,-85.396315 31.979957,-85.395375 31.980185,-85.394783 31.980071)",110685806446,,,S1400
"LINESTRING (-85.44963 31.967447,-85.449789 31.967628,-85.450217 31.967671,-85.450994 31.967575,-85.451367 31.967482,-85.451955 31.967455,-85.452596 31.967725,-85.453371 31.96836,-85.453715 31.968997,-85.454624 31.969493,-85.454783 31.969834,-85.454834 31.970312,-85.455794 31.971288,-85.456059 31.971833,-85.45702 31.972604,-85.458115 31.973009,-85.459237 31.973688,-85.459344 31.97387)",110685799322,Deer Dr,M,S1400
"LINESTRING (-85.452287 31.940066,-85.451548 31.94035,-85.450501 31.941299,-85.450427 31.942052)",110685806282,,,S1400
"LINESTRING (-85.439018 31.894488,-85.441326 31.894487,-85.441691 31.894418,-85.441925 31.894173,-85.441989 31.893887,-85.442028 31.893397)",110685806811,,,S1400
"LINESTRING (-85.463359 31.882561,-85.463481 31.882494,-85.463564 31.882473,-85.463737 31.882472,-85.463987 31.882527,-85.464209 31.882638,-85.464648 31.882985,-85.464777 31.883081,-85.464922 31.883153,-85.465002 31.883173,-85.465088 31.883171,-85.465236 31.883112)",110685806797,,,S1400
"LINESTRING (-85.442762 31.878168,-85.442771 31.878452,-85.442769 31.879323,-85.442774 31.879473,-85.442769 31.879939,-85.442769 31.880368,-85.442766 31.880441,-85.442771 31.88059)",110685799445,Lock St,M,S1400
"LINESTRING (-85.441561 31.875357,-85.442022 31.875394,-85.442875 31.875473,-85.443558 31.875531,-85.443758 31.875553,-85.444072 31.875602,-85.444265 31.875644,-85.444403 31.875679,-85.444652 31.875733,-85.444813 31.875785,-85.444968 31.87585,-85.445694 31.876206,-85.445945 31.876343,-85.446105 31.876446,-85.446201 31.876483,-85.446325 31.876521,-85.446605 31.876587,-85.446763 31.876646,-85.44691 31.876718,-85.447047 31.876808,-85.447296 31.877008,-85.447448 31.877136,-85.44755 31.877223,-85.447615 31.877263,-85.447685 31.877291,-85.447764 31.877304,-85.447848 31.877309,-85.448389 31.877321,-85.448876 31.877329,-85.449669 31.87733)",110685799520,Reed Ave,M,S1400
"LINESTRING (-85.412337 31.899986,-85.411616 31.900409,-85.411237 31.900408,-85.410772 31.900375,-85.410298 31.90032,-85.409722 31.900376)",110685807203,,,S1400
"LINESTRING (-85.461465 31.886132,-85.46157 31.886119,-85.461681 31.886114,-85.461776 31.88612,-85.461899 31.886134,-85.463065 31.886346,-85.463731 31.88646,-85.463818 31.886468,-85.46389 31.886511)",110685802586,Westfield Ct,M,S1400
"LINESTRING (-85.460357 31.872923,-85.460339 31.873217,-85.460316 31.873598,-85.460262 31.87418,-85.460197 31.874985,-85.460183 31.87521,-85.459966 31.87793,-85.459826 31.879691,-85.459795 31.88003,-85.459766 31.880349,-85.459737 31.880932,-85.459736 31.881224,-85.459749 31.881733,-85.459767 31.881949,-85.459806 31.882164,-85.459939 31.88279,-85.459944 31.882814,-85.459993 31.883019,-85.460096 31.883407,-85.460192 31.883748,-85.460354 31.884164,-85.460472 31.884435,-85.460534 31.884563,-85.460618 31.884707,-85.460744 31.884954,-85.460823 31.885097,-85.460896 31.885218)",110685798726,State Rte 51,S,S1400
"LINESTRING (-85.449371 31.877964,-85.449496 31.877973,-85.44966 31.877978)",110685801243,Eufaula Ave,M,S1200
"LINESTRING (-85.449371 31.877964,-85.449462 31.877883,-85.449664 31.877719)",110685801245,Eufaula Ave,M,S1200
"LINESTRING (-85.459223 31.907634,-85.459365 31.907722,-85.459664 31.907928,-85.459885 31.908062,-85.460168 31.908215,-85.461214 31.908721,-85.462261 31.909221,-85.462933 31.909533,-85.4631 31.909574,-85.463273 31.909574,-85.463443 31.909548,-85.464019 31.909401,-85.464938 31.909188,-85.465099 31.909164,-85.465277 31.90917,-85.465441 31.909215,-85.46559 31.909281,-85.466091 31.909547,-85.467628 31.910323,-85.468682 31.910794,-85.469734 31.911284,-85.470225 31.911578,-85.470722 31.911863,-85.470921 31.911922,-85.471288 31.912032,-85.471857 31.91218,-85.472431 31.912312,-85.472992 31.912478,-85.473521 31.912721,-85.47563 31.913676,-85.476188 31.913853,-85.476778 31.91393,-85.478224 31.914016,-85.478385 31.914027,-85.478587 31.914032)",110685803439,Gulledge Mill Rd,M,S1400
"LINESTRING (-85.434495 31.97556,-85.434133 31.975772,-85.43373 31.976139,-85.433407 31.976666,-85.433434 31.976826,-85.433085 31.97733,-85.432601 31.977582,-85.432144 31.977719,-85.431472 31.977605,-85.430666 31.977673,-85.429483 31.978521,-85.428085 31.978681,-85.427602 31.979116,-85.427172 31.9793,-85.426096 31.979322,-85.424941 31.979597,-85.42357 31.980239,-85.421473 31.981407,-85.420022 31.981865,-85.419323 31.982368,-85.419155 31.982777)",1103944442679,State Lake Rd,M,S1400
"LINESTRING (-85.448675 31.96832,-85.448556 31.968182,-85.448461 31.968058,-85.448086 31.967479,-85.447905 31.967148,-85.447818 31.967025,-85.447704 31.96692,-85.447558 31.966846,-85.447391 31.966807,-85.447136 31.966844,-85.446977 31.966895,-85.446844 31.96699,-85.446777 31.967127,-85.446771 31.967273,-85.446824 31.967637,-85.446836 31.967784,-85.446792 31.967927,-85.446675 31.968036,-85.446526 31.968112,-85.446372 31.968172,-85.446296 31.968207,-85.446224 31.968249,-85.446174 31.96831,-85.44616 31.968384,-85.446179 31.96846,-85.446227 31.968521,-85.446343 31.96863,-85.446447 31.968746,-85.446523 31.968875,-85.446576 31.969015,-85.446581 31.969162,-85.446551 31.969232,-85.446498 31.969291,-85.446416 31.969334,-85.446342 31.969332,-85.446257 31.96931,-85.446167 31.969307,-85.445904 31.969288,-85.445732 31.969302,-85.445566 31.969341,-85.445315 31.969393,-85.445057 31.969394,-85.444891 31.969373,-85.444811 31.969356,-85.444731 31.969379,-85.444691 31.969452,-85.444725 31.969523,-85.44477 31.969586,-85.444914 31.96977,-85.445041 31.969961,-85.44515 31.97016,-85.445231 31.970369,-85.445255 31.970513,-85.445231 31.97066,-85.445131 31.970782,-85.444975 31.970846,-85.444802 31.970837,-85.444558 31.97078,-85.444475 31.970786,-85.444402 31.970831,-85.444374 31.970901,-85.444371 31.970974,-85.444399 31.971338,-85.444403 31.971557,-85.444377 31.971774,-85.444315 31.971985,-85.444192 31.972177,-85.443994 31.972317,-85.443828 31.972362,-85.44366 31.972331,-85.443531 31.972235,-85.443406 31.97204,-85.443187 31.971562,-85.44312 31.971428,-85.44304 31.971299,-85.442921 31.971193,-85.442762 31.971136,-85.44259 31.971131,-85.442421 31.971149,-85.442247 31.971141,-85.442172 31.971099,-85.442126 31.971036,-85.442108 31.970964,-85.442112 31.97089,-85.442131 31.970817,-85.442192 31.970682,-85.442245 31.970547,-85.442249 31.970478,-85.442222 31.970416,-85.442172 31.970403,-85.442115 31.970421,-85.44205 31.970472,-85.441955 31.970594,-85.441851 31.970709,-85.441779 31.97076,-85.441698 31.970774,-85.441614 31.970751,-85.441219 31.970612,-85.441145 31.970581)",1103860862255,State Lake,M,S1400
"LINESTRING (-85.448675 31.96832,-85.448556 31.968182,-85.448461 31.968058,-85.448086 31.967479,-85.447905 31.967148,-85.447818 31.967025,-85.447704 31.96692,-85.447558 31.966846,-85.447391 31.966807,-85.447136 31.966844,-85.446977 31.966895,-85.446844 31.96699,-85.446777 31.967127,-85.446771 31.967273,-85.446824 31.967637,-85.446836 31.967784,-85.446792 31.967927,-85.446675 31.968036,-85.446526 31.968112,-85.446372 31.968172,-85.446296 31.968207,-85.446224 31.968249,-85.446174 31.96831,-85.44616 31.968384,-85.446179 31.96846,-85.446227 31.968521,-85.446343 31.96863,-85.446447 31.968746,-85.446523 31.968875,-85.446576 31.969015,-85.446581 31.969162,-85.446551 31.969232,-85.446498 31.969291,-85.446416 31.969334,-85.446342 31.969332,-85.446257 31.96931,-85.446167 31.969307,-85.445904 31.969288,-85.445732 31.969302,-85.445566 31.969341,-85.445315 31.969393,-85.445057 31.969394,-85.444891 31.969373,-85.444811 31.969356,-85.444731 31.969379,-85.444691 31.969452,-85.444725 31.969523,-85.44477 31.969586,-85.444914 31.96977,-85.445041 31.969961,-85.44515 31.97016,-85.445231 31.970369,-85.445255 31.970513,-85.445231 31.97066,-85.445131 31.970782,-85.444975 31.970846,-85.444802 31.970837,-85.444558 31.97078,-85.444475 31.970786,-85.444402 31.970831,-85.444374 31.970901,-85.444371 31.970974,-85.444399 31.971338,-85.444403 31.971557,-85.444377 31.971774,-85.444315 31.971985,-85.444192 31.972177,-85.443994 31.972317,-85.443828 31.972362,-85.44366 31.972331,-85.443531 31.972235,-85.443406 31.97204,-85.443187 31.971562,-85.44312 31.971428,-85.44304 31.971299,-85.442921 31.971193,-85.442762 31.971136,-85.44259 31.971131,-85.442421 31.971149,-85.442247 31.971141,-85.442172 31.971099,-85.442126 31.971036,-85.442108 31.970964,-85.442112 31.97089,-85.442131 31.970817,-85.442192 31.970682,-85.442245 31.970547,-85.442249 31.970478,-85.442222 31.970416,-85.442172 31.970403,-85.442115 31.970421,-85.44205 31.970472,-85.441955 31.970594,-85.441851 31.970709,-85.441779 31.97076,-85.441698 31.970774,-85.441614 31.970751,-85.441219 31.970612,-85.441145 31.970581)",1103860862319,State Lake Rd,M,S1400
"LINESTRING (-85.450655 31.885941,-85.450906 31.88595,-85.451248 31.885951,-85.451421 31.885955)",110685799930,Holly St,M,S1400
"LINESTRING (-85.342722 31.893112,-85.343133 31.893133,-85.343715 31.893138,-85.344423 31.89324,-85.34468 31.893629)",110685802644,Bush Plant Rd,M,S1400
"LINESTRING (-85.36045 31.826239,-85.360418 31.826102,-85.360379 31.826034,-85.359914 31.825415,-85.359635 31.825137,-85.359319 31.824893,-85.358985 31.82467,-85.358595 31.824522,-85.358409 31.824468,-85.358036 31.824359,-85.357958 31.824332)",110685803653,St Paul Church Rd,M,S1400
"LINESTRING (-85.385419 31.863205,-85.385379 31.862984,-85.385372 31.862853)",110685807392,,,S1400
"LINESTRING (-85.389499 31.863375,-85.390075 31.863388,-85.390214 31.863396,-85.390587 31.863416,-85.391015 31.86342,-85.391616 31.863443,-85.3923 31.86345,-85.392892 31.863472,-85.393205 31.863479,-85.39335 31.863381,-85.393465 31.863266,-85.393554 31.863139,-85.393631 31.863007,-85.393691 31.862869,-85.393923 31.862164,-85.393938 31.862019,-85.393918 31.861872,-85.393856 31.861588,-85.393801 31.861273)",110685800203,Tyson Rd,M,S1400
"LINESTRING (-85.404251 31.862058,-85.404201 31.861967,-85.404121 31.862037,-85.403908 31.862161,-85.403762 31.862237,-85.403687 31.862282)",110685807321,,,S1400
"LINESTRING (-85.426025 31.864415,-85.425988 31.864503,-85.425952 31.864566,-85.425908 31.864632,-85.42561 31.864992,-85.425547 31.865086,-85.425525 31.865159,-85.425517 31.865268,-85.425544 31.865338,-85.42559 31.865403,-85.425654 31.865454,-85.426747 31.866032,-85.427203 31.866231,-85.427364 31.866279,-85.427447 31.866295,-85.427533 31.866299,-85.42762 31.866289,-85.427949 31.866203,-85.428353 31.866082,-85.42883 31.865914,-85.429707 31.865619,-85.43003 31.865524,-85.430361 31.865452,-85.430466 31.865412,-85.430515 31.865382,-85.430564 31.865307,-85.430588 31.865234,-85.430602 31.865164)",110685806489,,,S1400
"LINESTRING (-85.386483 31.863425,-85.386495 31.863277,-85.386586 31.863157,-85.386694 31.863044,-85.386784 31.862921,-85.386896 31.862811,-85.386906 31.862736,-85.38688 31.862644,-85.386819 31.862581)",110685806617,,,S1400
"LINESTRING (-85.538381 31.964686,-85.538341 31.965135,-85.538306 31.965484)",110685807669,,,S1740
"LINESTRING (-85.432893 31.864575,-85.433037 31.864544,-85.4332 31.864493,-85.433348 31.864422,-85.433457 31.864358,-85.433556 31.864292,-85.433735 31.864135,-85.43388 31.864058,-85.433956 31.864027,-85.43403 31.863987,-85.434089 31.863934,-85.434125 31.863865,-85.434283 31.863301,-85.434283 31.863227,-85.434263 31.863157,-85.434209 31.863102,-85.434094 31.863041)",110685806805,,,S1400
"LINESTRING (-85.566888 31.9133,-85.566956 31.913454,-85.566999 31.913526)",110685799260,Bond Rd,M,S1400
"LINESTRING (-85.445565 31.994467,-85.445431 31.994347)",110685806552,,,S1400
"LINESTRING (-85.434398 32.004708,-85.434329 32.004679,-85.434243 32.004635,-85.434156 32.004568)",110685800704,Pruitt Rd,M,S1400
"LINESTRING (-85.35186 31.902527,-85.35245 31.902988,-85.352558 31.903172,-85.352638 31.903725,-85.353388 31.904463,-85.353548 31.904716,-85.353655 31.905383,-85.354003 31.90612,-85.354137 31.906857,-85.355182 31.908263,-85.355744 31.909298,-85.357407 31.910681,-85.357729 31.911211,-85.358316 31.913053,-85.358396 31.913651,-85.358234 31.914273,-85.358234 31.915079,-85.357695 31.91623,-85.357587 31.916806)",110685806575,,,S1400
"LINESTRING (-85.371929 31.907207,-85.371059 31.907105,-85.370866 31.906996,-85.370699 31.906466,-85.370535 31.905872)",110685806762,,,S1400
"LINESTRING (-85.663052 31.622602,-85.661422 31.625348)",110685806707,,,S1400
"LINESTRING (-85.626175 31.686912,-85.626162 31.686926,-85.625818 31.687244,-85.625462 31.687555,-85.625088 31.687854,-85.622622 31.689774,-85.622255 31.690083,-85.62208 31.690242,-85.621739 31.690571,-85.621426 31.690918,-85.621133 31.691277,-85.620849 31.69164,-85.619655 31.693199,-85.619449 31.693468,-85.619044 31.694026,-85.618528 31.694779,-85.618006 31.695535,-85.61736 31.69648,-85.617224 31.696662,-85.61694 31.697028,-85.615961 31.698313,-85.615553 31.698873,-85.615536 31.698898,-85.615333 31.699188,-85.615259 31.699302,-85.615137 31.699458,-85.614391 31.700538,-85.613959 31.701167,-85.613584 31.701726,-85.613455 31.701937,-85.613153 31.702514,-85.613143 31.702535,-85.612992 31.702853,-85.612844 31.703195,-85.612566 31.703884,-85.612424 31.704225,-85.612272 31.704646,-85.612045 31.705226,-85.611621 31.706259,-85.611352 31.706902,-85.611021 31.707627,-85.610809 31.708066,-85.610691 31.708301,-85.610458 31.708803)",110685802368,Elamville St,M,S1200
"LINESTRING (-85.643356 31.674143,-85.643152 31.673917,-85.643036 31.673783,-85.642902 31.673639,-85.642828 31.673588,-85.642758 31.673556,-85.642666 31.673523,-85.642545 31.673496,-85.642452 31.673468,-85.642365 31.673426,-85.64229 31.673375,-85.642133 31.673236,-85.641962 31.673093,-85.641887 31.673014,-85.641799 31.672907,-85.641702 31.672768)",110685807397,,,S1400
"LINESTRING (-85.459795 31.88003,-85.459904 31.88007,-85.460159 31.88018,-85.460246 31.880201,-85.460378 31.880211,-85.460892 31.880222,-85.461234 31.880222,-85.461831 31.880235)",1103984384116,,,S1740
"LINESTRING (-85.43674 31.880624,-85.436583 31.880498,-85.436493 31.880452,-85.436202 31.880346,-85.436102 31.880202,-85.435463 31.880256)",110685807123,,,S1400
"LINESTRING (-85.438793 31.879348,-85.438124 31.879344,-85.437954 31.879359,-85.437885 31.879386,-85.43783 31.879454,-85.437811 31.879529,-85.437801 31.879748,-85.437823 31.88004,-85.437813 31.880186,-85.437784 31.88048,-85.437785 31.880573)",110685799017,Cox Ln,M,S1400
"LINESTRING (-85.43385 31.88218,-85.433298 31.882181,-85.4327 31.881606,-85.432555 31.881295,-85.432531 31.880933)",110685799016,Cox Ln,M,S1400
"LINESTRING (-85.40617 31.860706,-85.405995 31.860803,-85.40554 31.860989,-85.405309 31.861091,-85.405017 31.861251,-85.404868 31.861325,-85.404787 31.861352,-85.404366 31.861434,-85.40425 31.861486,-85.40412 31.86152,-85.403534 31.861654,-85.40328 31.861701,-85.40304 31.861758,-85.402884 31.861791,-85.402801 31.861795)",110685801627,Stevens Rd,M,S1400
"LINESTRING (-85.619632 31.689868,-85.619655 31.693199)",110685806696,,,S1400
"LINESTRING (-85.491421 31.929365,-85.491455 31.929138)",110685799531,Reid Rd,M,S1400
"LINESTRING (-85.625445 31.735208,-85.626471 31.735376,-85.627226 31.735382,-85.62855 31.735574,-85.6289 31.735691,-85.629117 31.7359,-85.62904 31.736315,-85.627981 31.737748,-85.627662 31.738256,-85.627184 31.738581,-85.626786 31.738974,-85.625988 31.739323,-85.625802 31.7396,-85.625643 31.739671,-85.624919 31.739492,-85.624111 31.7395,-85.623845 31.739662,-85.623607 31.739939,-85.623502 31.740193,-85.623613 31.740679,-85.623776 31.740887,-85.623861 31.741395)",110685807098,,,S1400
"LINESTRING (-85.61531 31.683473,-85.617306 31.683472,-85.618661 31.683492)",110685807269,,,S1400
"LINESTRING (-85.438108 31.752085,-85.437859 31.752123,-85.436755 31.752237,-85.436332 31.752284,-85.435908 31.752322,-85.43506 31.752409,-85.434643 31.752456,-85.434561 31.75247,-85.434261 31.752499)",1103370877291,Co Rd 20,C,S1400
"LINESTRING (-85.449122 31.752232,-85.448915 31.75222,-85.447635 31.752133,-85.44678 31.752086,-85.445929 31.752057,-85.445077 31.752038,-85.443547 31.752025,-85.443373 31.752014)",1103588846314,Co Rd 20,C,S1400
"LINESTRING (-85.615546 31.699468,-85.615476 31.699565,-85.615366 31.699698,-85.614734 31.700588,-85.61426 31.701296,-85.614195 31.701412,-85.614184 31.70143,-85.613954 31.70179,-85.613507 31.702541,-85.613379 31.702773,-85.613227 31.703116,-85.613096 31.703463,-85.613006 31.703756,-85.612987 31.703818,-85.612943 31.704003,-85.612915 31.704105,-85.612825 31.704538,-85.612801 31.704682,-85.612787 31.704802,-85.612694 31.705242,-85.612566 31.705923,-85.612537 31.706043,-85.612524 31.70612,-85.612418 31.706592,-85.612371 31.706928,-85.612349 31.707047,-85.612323 31.70716,-85.612246 31.707374,-85.612086 31.707718,-85.611892 31.708043,-85.611715 31.708289,-85.611664 31.708367,-85.611539 31.708541,-85.611406 31.708725,-85.611296 31.708883)",110685799219,Railroad St,M,S1400
"LINESTRING (-85.666704 31.707001,-85.66673 31.70742,-85.66606 31.708422)",110685807107,,,S1400
"LINESTRING (-85.650263 31.667954,-85.650211 31.668338,-85.649943 31.668488,-85.649276 31.668478)",110685807401,,,S1400
"LINESTRING (-85.617292 31.740183,-85.618042 31.739908,-85.618445 31.739931,-85.619061 31.740205,-85.619839 31.740709,-85.620509 31.740984,-85.621635 31.74096,-85.622654 31.741097,-85.623486 31.741418,-85.623861 31.741395)",110685807094,,,S1400
"LINESTRING (-85.596287 31.708556,-85.596098 31.709301)",110685807025,,,S1400
"LINESTRING (-85.610458 31.708803,-85.610717 31.708827,-85.610869 31.708846,-85.611179 31.708874,-85.611296 31.708883,-85.611714 31.708923,-85.6121 31.708956,-85.612471 31.708987,-85.613934 31.709124,-85.614081 31.709124,-85.614224 31.709138,-85.614305 31.709154,-85.614402 31.70916,-85.614896 31.709221,-85.61693 31.709443,-85.61718 31.709466,-85.617479 31.709482,-85.617734 31.709522,-85.617982 31.709568,-85.618253 31.709624,-85.618429 31.709667,-85.618547 31.70969,-85.618783 31.709761,-85.619262 31.709914,-85.619793 31.710118,-85.619925 31.710184,-85.620082 31.710255,-85.621779 31.711084,-85.622233 31.711292,-85.622465 31.711387,-85.622793 31.711496,-85.623002 31.711568,-85.62313 31.711606,-85.623528 31.711709,-85.624026 31.711814,-85.624532 31.711891,-85.625045 31.711934,-85.625556 31.71195,-85.626069 31.711934,-85.626578 31.711886,-85.62766 31.711737,-85.628601 31.711607,-85.630119 31.711405,-85.630374 31.711378,-85.630629 31.71136,-85.631139 31.711344,-85.63165 31.711361,-85.632412 31.71143,-85.632516 31.711436)",110685802302,Brundidge St,M,S1200
"LINESTRING (-85.636806 31.68136,-85.636954 31.68156,-85.637012 31.681613,-85.637082 31.681653,-85.637161 31.681679,-85.63725 31.681689,-85.637414 31.681706,-85.637924 31.681721,-85.638432 31.681748,-85.638686 31.681765,-85.640217 31.68183,-85.640386 31.681845,-85.64064 31.68188,-85.64089 31.68193,-85.641138 31.681991,-85.641303 31.682042,-85.641534 31.682145,-85.641611 31.682179,-85.642463 31.682595,-85.642908 31.682807,-85.643136 31.682906,-85.643366 31.682997,-85.644556 31.68341,-85.645031 31.683579,-85.646199 31.68403,-85.646672 31.684196,-85.646914 31.684275,-85.647313 31.684418,-85.647542 31.684484,-85.647782 31.684532,-85.648015 31.684554,-85.648505 31.684583,-85.648998 31.684601,-85.649968 31.684605,-85.650729 31.684584,-85.651243 31.684561,-85.651502 31.684559)",110685801639,Strokes Rd,M,S1400
"LINESTRING (-85.633828 31.724182,-85.633761 31.724341,-85.633643 31.724697,-85.633557 31.724901,-85.633452 31.725101,-85.633341 31.725297,-85.633217 31.725484,-85.632726 31.726167,-85.632548 31.726414,-85.632294 31.726791,-85.632173 31.726985,-85.632058 31.727179,-85.631951 31.727376,-85.631713 31.72776,-85.63156 31.727935,-85.631396 31.728101,-85.630556 31.728928,-85.630227 31.729263,-85.629907 31.729605,-85.629578 31.729939,-85.629093 31.73045,-85.628925 31.730642,-85.628631 31.730977,-85.628493 31.731162,-85.628378 31.731356,-85.628271 31.731556,-85.627974 31.732159,-85.627757 31.732555,-85.627642 31.732741,-85.627382 31.733108,-85.627287 31.733312,-85.6272 31.733521,-85.627087 31.733719,-85.62696 31.733909,-85.626813 31.734089,-85.626646 31.734255,-85.626087 31.734708,-85.625521 31.735154,-85.625445 31.735208,-85.625132 31.735433,-85.62473 31.735705,-85.624522 31.73583,-85.624301 31.735935,-85.623603 31.736217,-85.623379 31.736322,-85.62316 31.736439,-85.623141 31.736451,-85.622535 31.736827,-85.62232 31.736946,-85.621455 31.737409,-85.62101 31.737619,-85.620782 31.73771,-85.620547 31.737793,-85.619372 31.738189,-85.619129 31.738258,-85.618632 31.738364,-85.618378 31.738401,-85.61787 31.738447,-85.616847 31.738522,-85.616593 31.738551,-85.616088 31.73863,-85.615918 31.738655,-85.615583 31.738703,-85.615328 31.738717,-85.61482 31.738704,-85.614317 31.738673,-85.613294 31.738598,-85.61228 31.738535,-85.611773 31.738495,-85.611266 31.738466,-85.611135 31.738453)",110685801586,Alex Shipman Rd,M,S1400
"LINESTRING (-85.584795 31.703115,-85.585857 31.703477,-85.58593 31.703504,-85.586099 31.703557,-85.586395 31.703658,-85.587842 31.70414,-85.588676 31.704415,-85.589425 31.704655,-85.590009 31.704839,-85.590147 31.704879,-85.590636 31.705032,-85.590784 31.705073,-85.590996 31.70514,-85.592022 31.705447,-85.592331 31.70554,-85.592574 31.705606,-85.592983 31.705729,-85.595845 31.706523,-85.596658 31.706744,-85.59748 31.706942,-85.597894 31.70703,-85.59831 31.707111,-85.598727 31.707181,-85.600241 31.707396,-85.600462 31.707432,-85.600828 31.70748,-85.601746 31.707613,-85.60192 31.707638,-85.602301 31.707688,-85.602509 31.707715,-85.603346 31.707834,-85.603764 31.707888,-85.604184 31.707948,-85.604358 31.707971,-85.604705 31.708016,-85.604905 31.708036,-85.605327 31.708101,-85.605744 31.708153,-85.606588 31.708273,-85.608019 31.708493,-85.608098 31.708511,-85.608302 31.708546,-85.608435 31.708572,-85.608786 31.708622,-85.609264 31.708687,-85.60937 31.708691,-85.609601 31.708721,-85.610022 31.708769,-85.610278 31.708794,-85.610458 31.708803)",110685803211,Blue Springs St,M,S1200
"LINESTRING (-85.552025 31.688429,-85.551528 31.688415,-85.550981 31.688472,-85.550716 31.688782,-85.550799 31.689219,-85.551164 31.689431,-85.551694 31.689417,-85.552075 31.689135,-85.552092 31.688824,-85.552092 31.688627,-85.552025 31.688429)",110685806569,,,S1400
